;tmdb_id;imdb_rating;imdb_votes
0;278;9.3;3,042,120
1;238;9.2;2,121,667
2;240;9.0;1,424,468
3;424;9.0;1,517,035
4;389;9.0;920,922
6;155;9.0;3,015,692
17;157336;8.7;2,339,759
13;13;8.8;2,368,927
8;497;8.6;1,479,139
5;129;8.6;905,425
7;19404;8.0;79,265
9;496243;8.5;1,058,893
10;680;8.9;2,331,708
11;122;9.0;2,074,794
12;372058;8.4;354,727
14;429;8.8;850,523
15;346;8.6;379,094
16;769;8.7;1,319,523
19;637;8.6;776,195
20;550;8.8;2,456,010
21;11216;8.5;300,405
22;598;8.6;835,420
25;120;8.9;2,104,541
26;14537;8.6;79,357
28;510;8.7;1,116,099
27;667257;;
31;121;8.8;1,871,784
35;1891;8.7;1,435,744
24;539;8.5;741,743
18;12477;8.5;342,933
30;311;8.3;390,054
29;696374;5.9;3,939
23;40096;8.6;17,477
39;704264;8.4;2,668
32;255709;8.2;10,383
33;324857;8.4;727,185
34;4935;8.2;480,420
36;378064;8.1;118,761
37;724089;;
38;423;8.5;964,581
41;244786;8.5;1,072,121
40;761053;;
42;807;8.6;1,907,628
43;27205;8.8;2,671,882
44;1058694;7.8;6,545
45;1356039;;
46;567;8.5;545,354
48;12493;8.4;58,940
50;569094;8.5;453,833
51;770156;7.1;1,620
52;73;8.5;1,230,712
54;128;8.3;458,216
55;820067;7.3;2,631
57;105;8.5;1,376,002
56;1184918;8.2;151,636
59;3782;8.3;94,812
61;207;8.1;587,741
60;10494;;
62;101;8.5;1,301,360
76;77338;8.5;976,408
47;274;8.6;1,633,270
73;1585;8.6;526,295
53;372754;7.7;3,663
74;632632;7.7;2,603
49;620249;7.3;2,656
67;1139087;8.3;7,510
58;15804;8.2;13,551
63;652837;7.6;9,387
64;914;8.4;248,651
65;599;8.4;245,601
66;644479;;
68;18491;8.1;69,292
69;3082;8.5;272,428
71;335;8.5;367,158
70;42269;8.0;7,829
72;92321;;
75;533514;8.3;11,928
77;28;8.4;737,150
78;901;8.5;205,485
79;8587;8.5;1,199,828
80;637920;8.2;58,767
82;975;8.4;225,910
81;10376;8.0;71,285
83;670;8.3;672,998
86;568332;8.4;7,944
89;654299;;
90;504253;8.0;26,758
91;527641;7.2;90,661
92;299534;8.4;1,339,749
95;299536;8.4;1,285,927
96;25237;8.4;103,344
94;995133;7.8;20,265
98;490132;8.2;624,774
99;265177;8.0;63,424
101;603;8.7;2,147,060
100;24188;;
102;618344;7.8;17,596
103;110420;8.1;51,984
105;98;8.5;1,758,055
104;16672;8.5;23,433
107;1160164;8.0;24,209
109;16869;8.4;1,679,699
108;315162;7.8;202,212
111;37257;8.4;145,279
110;441130;8.0;41,880
113;694;8.4;1,159,098
112;635302;8.2;80,525
114;50014;8.1;511,326
116;290098;8.1;185,830
117;11;;
118;1124;8.5;1,512,938
120;11324;8.2;1,534,963
121;284;8.3;208,132
119;522924;7.6;40,608
115;354912;8.4;645,660
106;857;8.6;1,568,660
126;324786;8.1;630,865
143;426;8.3;443,973
148;289;;
93;508965;8.2;213,749
88;447362;6.2;11,138
132;18148;8.1;73,492
84;630566;7.5;12,175
97;283566;;
137;26451;8.0;13,747
123;92060;;
87;572154;8.2;6,534
85;29259;;
122;829402;6.9;6,415
140;812225;7.4;8,760
124;823219;7.9;70,276
127;313106;;
125;620683;7.1;2,956
128;476292;7.4;9,608
129;185;8.2;910,590
130;490;8.1;206,854
131;68718;8.5;1,763,019
134;77;8.4;1,374,391
133;5156;8.3;182,401
136;361743;8.2;775,066
135;851644;7.4;12,472
138;629;8.5;1,188,114
139;20941;;
142;348;8.5;1,015,516
141;537061;7.7;9,820
144;111;8.3;963,892
145;1422;8.5;1,487,100
147;489;8.3;1,132,382
146;592350;7.8;10,980
149;797;8.0;135,455
150;10098;8.2;139,244
151;556574;8.3;127,159
152;399106;8.3;32,627
154;133919;;
157;517814;8.4;115,409
158;20914;N/A;N/A
159;610892;7.5;7,479
161;475557;8.3;1,601,600
162;20334;8.0;40,953
163;666;8.0;44,366
165;81481;8.0;23,707
166;103;8.2;977,068
167;1026227;7.7;13,411
169;810693;7.8;48,111
171;280;8.6;1,227,716
170;600;8.2;820,847
172;406997;7.9;187,877
176;935;8.3;537,333
178;398818;7.8;339,508
177;575813;7.6;15,299
179;3780;8.3;22,035
180;100;8.1;633,671
181;614;8.1;120,290
182;600354;8.2;212,943
184;996;8.3;174,734
185;508442;8.0;407,528
186;38288;;
187;19;8.3;194,069
188;458220;7.3;47,181
191;55823;8.1;4,693
193;664767;7.4;20,052
197;10681;8.4;1,259,621
155;37165;8.2;1,265,103
174;500;8.3;1,131,782
175;791373;7.9;455,409
153;693134;8.5;626,461
156;872;8.3;272,197
190;843;8.1;175,628
183;531428;8.1;117,622
164;422;8.0;129,231
173;1398;8.0;151,172
192;470044;7.5;41,856
160;606856;7.9;57,789
206;655;8.1;127,596
241;11645;8.2;141,102
215;705;8.2;144,113
168;9702;;
205;698687;7.6;50,415
221;397567;7.2;20,841
234;992;8.2;60,321
194;24382;7.9;11,861
220;518068;7.1;9,718
225;532067;7.8;5,797
189;11659;8.5;25,170
243;800;8.2;22,473
208;2457;8.3;21,662
203;20532;8.4;18,809
218;831827;7.5;5,662
228;31439;8.3;21,192
200;795607;6.8;3,733
195;411088;;
196;146233;8.2;867,880
198;239;8.2;292,794
199;11878;8.2;135,707
201;46738;8.3;223,004
202;103663;8.3;387,720
204;762975;6.7;63,239
207;38;8.3;1,135,109
209;149871;8.0;58,154
210;406;8.1;210,325
211;12445;8.1;996,664
212;755812;;
214;387;8.4;273,687
213;663558;6.8;4,075
216;21634;8.0;18,303
219;832;8.3;176,513
217;1064486;7.8;17,677
222;7345;8.2;668,453
223;8392;8.1;404,996
224;439;8.0;79,809
226;359940;8.1;582,812
227;1091;8.2;492,595
229;4348;7.8;350,149
231;548;8.2;186,250
230;42229;8.1;16,698
232;62;8.3;753,280
233;437068;7.9;35,134
235;872585;8.3;878,936
236;555604;7.6;119,622
237;550776;7.2;17,122
238;11423;8.1;238,839
239;7347;8.0;113,160
240;522518;7.4;31,039
242;381284;7.8;273,146
244;1955;8.2;272,707
245;334543;8.0;259,362
246;400608;8.3;16,890
248;120467;8.1;925,564
247;640344;;
249;472454;8.2;44,862
250;821;8.3;88,994
253;582;8.4;426,492
251;310569;7.8;17,687
254;785534;6.6;14,096
255;538362;;
256;106646;8.2;1,683,543
258;9277;8.3;289,424
257;823754;8.6;56,936
259;204;8.1;69,086
260;43949;7.7;102,007
261;147;8.0;130,340
263;279;8.4;443,510
262;638507;7.3;6,508
264;838240;7.6;17,944
267;8422;8.2;23,038
270;938;8.2;287,126
271;307;8.0;29,951
272;1244492;7.8;11,653
275;641;8.3;935,942
273;110416;8.0;65,736
274;55960;;
276;673;7.9;727,285
278;28178;8.1;325,549
279;515001;7.9;467,132
280;14;8.3;1,247,771
281;400928;7.6;151,452
282;3175;8.1;192,864
283;1084736;7.6;34,154
285;359724;8.1;522,355
334;862;8.3;1,118,442
344;329;8.2;1,115,662
284;264644;8.1;467,294
333;76;8.1;358,305
