;tmdb_id;imdb_rating;imdb_votes
0;1396;9.5;2,313,544
1;219246;9.3;13,664
2;209867;8.9;36,729
3;94605;9.0;390,191
4;131378;8.8;8,946
7;37854;9.0;295,328
10;60625;9.1;639,958
5;246;9.3;404,145
8;31911;9.1;220,370
15;92685;8.6;22,491
6;94954;;
17;42705;8.8;12,811
20;62741;8.1;5,976
13;220542;8.5;13,471
9;240411;;
11;60059;9.0;728,304
12;87108;9.3;947,377
14;1429;9.1;607,219
16;70785;8.6;71,210
18;46298;9.0;163,018
19;1398;9.2;522,544
21;85937;8.6;186,160
22;85077;5.8;800
23;42573;8.7;8,472
25;95557;8.7;246,227
26;65930;8.2;92,078
27;13916;8.9;420,524
30;72637;8.2;791
29;259666;8.3;1,459
31;31132;8.6;66,450
28;127532;8.5;55,174
34;37419;;
35;80040;;
36;100;7.9;292
38;57706;7.9;5,993
37;62914;8.6;10,236
41;3854;8.4;21,145
40;77696;9.3;3,313
67;100088;8.7;624,106
60;95479;8.5;151,707
70;4613;9.4;561,613
45;1438;9.3;401,271
52;35610;7.9;18,645
83;114410;8.3;74,334
42;97186;7.9;23,378
64;45790;8.5;42,825
32;89456;8.6;24,703
33;60863;8.7;41,946
61;61663;8.5;43,489
24;95269;7.4;2,781
73;68129;8.2;10,878
39;82728;9.3;38,232
75;85349;8.3;9,812
65;98214;7.5;980
81;74313;9.3;51,205
43;66732;8.6;1,437,239
44;46896;8.3;152,370
46;40075;8.9;151,507
47;1408;8.7;545,738
49;68595;9.5;164,111
48;79141;8.4;4,745
50;124834;8.5;84,508
53;67915;;
54;890;8.5;91,809
56;31356;6.5;15,193
55;80564;8.2;9,402
57;35790;8.0;5,891
51;36189;8.5;4,609
58;2316;9.0;773,004
59;1430;;
63;65844;7.8;17,876
62;207468;8.3;20,771
66;1044;9.4;227,238
68;61617;8.7;77,631
69;204154;8.6;29,780
71;83121;8.5;24,121
72;88040;8.2;5,384
76;82739;8.0;20,412
74;93019;7.0;1,547
77;120089;8.3;50,279
79;45950;;
78;86031;8.1;34,512
80;43;;
82;89901;7.7;20,712
84;21650;6.6;2,697
86;94664;8.2;28,866
88;61222;8.8;202,506
89;12313;7.3;14
87;138502;8.8;44,047
91;77721;7.0;1,177
90;110070;8.0;19,399
93;2098;9.0;126,510
95;67389;7.5;5,214
97;207784;8.0;10,194
100;135157;8.7;22,266
101;90447;8.1;15,158
102;60574;8.7;709,128
104;125910;8.2;46,207
105;75006;7.8;299,616
106;79744;8.0;96,117
107;30991;8.9;153,589
108;117376;8.4;32,524
111;83095;7.7;20,183
109;96462;8.6;38,491
110;86034;7.1;4,964
113;68349;8.3;13,863
112;73488;;
116;106600;;
117;154521;4.5;5,659
118;19885;9.1;1,045,351
120;83880;9.2;56,622
124;94796;8.7;47,924
122;9160;8.0;1,977
121;225180;8.7;91,019
123;333;8.4;4,589
103;200709;8.4;13,487
126;110309;8.0;5,583
129;100049;7.7;5,296
130;37585;8.1;2,481
186;1399;9.2;2,431,624
99;31910;8.7;196,375
133;15260;8.6;123,246
92;76121;7.3;16,576
144;37606;8.4;47,367
159;105248;8.3;103,595
171;42444;;
98;83100;8.2;24,294
125;67075;8.5;55,318
137;64196;7.6;15,356
175;66330;;
179;194764;8.6;191,287
155;96160;7.6;3,944
190;2723;8.5;62,277
181;82684;8.1;19,256
115;28136;8.5;21,276
145;123249;8.0;17,347
174;84669;7.6;8,118
141;35935;8.7;65,715
114;30981;8.7;51,394
164;154825;8.1;33,328
131;65648;7.9;9,513
165;79818;7.8;5,552
189;35753;6.9;2,528
166;45783;8.2;13,501
119;66433;8.6;13,497
139;30669;8.5;17,250
94;108261;8.6;11,939
96;40143;8.0;6,852
127;32118;7.6;8,518
187;66078;7.1;1,082
169;62565;;
85;9302;7.6;2,391
156;62602;7.5;6,628
147;108291;8.1;14,434
148;87432;6.9;1,316
128;35894;7.2;1,194
160;96150;;
153;253905;5.7;89,100
138;87461;6.8;951
192;126485;8.4;13,280
135;229480;7.6;2,614
132;73223;8.2;41,749
134;2192;8.5;4,101
136;88803;8.8;99,248
142;218539;7.7;15,265
140;92621;8.4;15,914
143;83639;7.6;7,370
149;3498;6.9;40,240
150;1600;7.4;19,982
146;197067;8.6;29,499
152;65249;8.4;65,022
151;136369;8.0;13,851
154;75214;8.4;34,594
158;71712;8.0;122,670
157;97617;7.1;5,739
161;2004;8.2;148,916
163;99779;7.1;2,041
162;126308;8.6;216,063
167;107113;8.1;185,561
168;90937;7.7;14,283
170;92468;;
172;79732;8.1;20,359
173;34524;7.7;170,726
176;58474;;
178;87739;8.5;612,306
177;114868;6.5;9,896
183;72517;7.7;17,937
180;86836;6.4;2,332
182;76479;8.6;775,063
184;4194;8.4;132,011
185;62273;;
188;111819;7.6;4,372
191;136283;8.1;34,826
194;63174;8.0;368,551
193;100281;8.0;4,833
195;117648;9.0;71,764
197;6357;9.0;100,378
196;107124;7.7;4,201
198;106292;8.4;12,843
200;105009;7.8;28,170
202;79460;7.2;39,621
199;68267;8.4;20,188
201;221851;7.8;9,288
203;91425;8.4;10,166
205;42509;8.8;82,639
206;129888;8.6;15,713
208;1409;8.5;338,938
209;69050;6.5;159,767
210;1668;8.9;1,142,374
211;62104;7.7;41,905
213;82856;8.6;624,158
214;61752;8.2;28,263
215;3793;8.4;23,309
216;119051;8.0;411,017
218;96162;8.2;21,813
222;70523;8.7;490,909
223;95396;8.7;315,421
226;74016;7.8;39,919
227;62110;;
225;126506;8.5;20,771
231;12637;6.9;6,286
229;100834;8.6;4,995
230;63314;8.2;6,572
