;adult;backdrop_path;genre_ids;id;origin_country;original_language;original_name;overview;popularity;poster_path;first_air_date;title_ES;vote_average;vote_count;type;title_EN
0;False;/9faGSFi5jam6pDWGNd0p8JcJgXQ.jpg;[18, 80];1396;['US'];en;Breaking Bad;Tras cumplir 50 años, Walter White (Bryan Cranston), un profesor de química de un instituto de Albuquerque, Nuevo México, se entera de que tiene un cáncer de pulmón incurable. Casado con Skyler (Anna Gunn) y con un hijo discapacitado (RJ Mitte), la brutal noticia lo impulsa a dar un drástico cambio a su vida: decide, con la ayuda de un antiguo alumno (Aaron Paul), fabricar anfetaminas y ponerlas a la venta. Lo que pretende es liberar a su familia de problemas económicos cuando se produzca el fatal desenlace.;130.1186;/ztkUQFLlC19CCMYHW9o1zWhJRNq.jpg;2008-01-20;Breaking Bad;8.926;15521;show;Breaking Bad
1;False;/5yk3QwnQxzwKfhU1tlDkV2PSIBz.jpg;[18];219246;['KR'];ko;폭싹 속았수다;En la isla de Jeju, una chica llena de vida y un joven decidido viven una historia repleta de desafíos y triunfos que demuestra que el amor puede trascender el tiempo.;61.9369;/h3Sv1qMAc6ADS6xWoIrUAzdXarf.jpg;2025-03-07;Si la vida te da mandarinas...;8.872;258;show;When Life Gives You Tangerines
2;False;/96RT2A47UdzWlUfvIERFyBsLhL2.jpg;[16, 10759, 10765, 18];209867;['JP'];ja;葬送のフリーレン;La maga Frieren formaba parte del grupo del héroe Himmel, quienes derrotaron al Rey Demonio tras un viaje de 10 años y devolvieron la paz al reino. Frieren es una elfa de más de mil años de vida, así que al despedirse de Himmel y sus compañeros promete que regresará para verlos y parte de viaje sola. Al cabo de cincuenta años, Frieren cumple su promesa y acude a visitar a Himmel y al resto. Aunque ella no ha cambiado, Himmel y los demás han envejecido y están en el final de sus vidas. Cuando Himmel muere, Frieren se arrepiente de no haber pasado más tiempo a su lado conociéndolo, así que emprende un viaje para conocer mejor a sus antiguos compañeros, a las personas y descubrir más del mundo.;30.4111;/v7i3yNKxsDwB5IG9ElWgOGPieE8.jpg;2023-09-29;Frieren: Tras finalizar el viaje;8.8;432;show;Frieren: Beyond Journey's End
3;False;/wQEW3xLrQAThu1GvqpsKQyejrYS.jpg;[16, 10765, 18, 10759];94605;['US'];en;Arcane;Con las dispares ciudades de Piltover y Zaun como telón de fondo, dos hermanas luchan en bandos opuestos de una guerra entre tecnologías mágicas y creencias enfrentadas.;35.3519;/i1vSPUbiBe2iK2HapGDfHItBFlC.jpg;2021-11-06;Arcane;8.776;5115;show;Arcane
4;False;/7BzmK4MWc0cj4hCxwWURt6TS6UR.jpg;[16, 10765, 10759, 35];131378;['US'];en;Adventure Time: Fionna & Cake;Fionna y Cake, con la ayuda del anterior Rey del Hielo, se embarcan en una aventura multiversal y en un viaje de autodescubrimiento.;15.5351;/2tgXQ9NU48mNgpsEWfyVzTb2Ho8.jpg;2023-08-31;Hora de aventuras: Fionna y Cake;8.758;231;show;Adventure Time: Fionna & Cake
7;False;/2rmK7mnchw9Xr3XdiTFSxTTLXqv.jpg;[10759, 35, 16];37854;['JP'];ja;ワンピース;"Riqueza, fama, poder... un hombre había obtenido todo en este mundo, era el Rey de los Piratas Gold Roger. Antes de morir sus últimas palabras inspiraron al mundo a aventurarse al mar: ""¿Mi tesoro? Si lo queréis es vuestro... lo he escondido todo en ese lugar"". Y así dio comienzo lo que se conoce como la Gran Era de la Piratería, lanzando a cientos de piratas al mar para encontrar el gran tesoro One Piece. Esta serie relata las aventuras y desventuras de uno de esos piratas, Monkey D. Luffy, quien accidentalmente de pequeño, comió una Fruta del Diablo (Akuma no Mi en japonés), en particular una Gomu Gomu no Mi que hizo que su cuerpo ganara las propiedades físicas de la goma, convirtiéndose en el hombre de goma. Luffy, después de dicho suceso, decide que se convertirá en el próximo Rey de los Piratas y para ello, deberá encontrar el ""One Piece"".";62.6013;/oag7edI9flSMawmNySEiSEJAbrf.jpg;1999-10-20;One Piece;8.723;4870;show;One Piece
10;False;/rBF8wVQN8hTWHspVZBlI3h7HZJ.jpg;[16, 35, 10765, 10759];60625;['US'];en;Rick and Morty;Comedia animada que narra las aventuras de un científico loco Rick Sánchez, que regresa después de 20 años para vivir con su hija, su marido y sus hijos Morty y Summer.;128.4276;/5Yiep9EwcQgLolg013ETBVqHxuD.jpg;2013-12-02;Rick y Morty;8.7;10137;show;Rick and Morty
5;False;/kU98MbVVgi72wzceyrEbClZmMFe.jpg;[16, 10759, 10765];246;['US'];en;Avatar: The Last Airbender;La historia transcurre en un mundo de gente principalmente asiática (el estilo de vida en la serie se basa en la primera mitad del siglo XIX), donde predominan las artes marciales y la manipulación de los elementos en combinación con el misticismo oriental, dando seguimiento a las aventuras de Aang, el más reciente sucesor de una larga línea de avatares, y sus amigos en un intento por salvar su místico mundo de la despiadada Nación del Fuego que busca conquistar a las demás naciones. Durante sus travesías son acechados insistentemente por el desterrado príncipe del fuego Zuko, cuyo objetivo es capturar al avatar para recuperar su honor. Esta serie es presentada como si se tratara de una serie de libros, en donde cada episodio actúa como un «capítulo», y cada temporada como un solo «libro», los cuales se titulan por el elemento temático de la temporada.;31.584;/ucNtkZfpZ6KgxqPo039nN4LAyFR.jpg;2005-02-21;Avatar: La leyenda de Aang;8.7;4335;show;Avatar: The Last Airbender
8;False;/A6tMQAo6t6eRFCPhsrShmxZLqFB.jpg;[10759, 16, 10765, 35];31911;['JP'];ja;鋼の錬金術師 FULLMETAL ALCHEMIST;Remake de Fullmetal Alchemist. Edward y Alphonse rompieron la regla basica de la alquimia, la cual les trajo graves consecuencias. Para remediar esto, se embarcan en busca de alguna forma de solucionar sus males;24.836;/cni0R0Ks4wPV40Mk7Aqk6izhI5T.jpg;2009-04-05;Fullmetal Alchemist: Brotherhood;8.7;2175;show;Fullmetal Alchemist: Brotherhood
15;False;/mGHrUSt2uA5RaIheSmBfRnRHPS8.jpg;[16, 10765, 18, 10759, 35, 10762];92685;['US'];en;The Owl House;Luz, una adolescente humana muy segura de sí misma, tropieza con un portal a un nuevo mundo mágico donde se hace amiga de una bruja rebelde, Eda, y de un adorable y diminuto guerrero, Rey. A pesar de no saber hacer magia, Luz persigue su sueño de convertirse en bruja aprendiendo de Eda en la Casa Búho, y acaba por encontrar una nueva familia en un entorno extraño.;33.2082;/lE5OYF0axjCVtrxLMetA8i8QpZ8.jpg;2020-01-10;Casa Búho;8.7;1664;show;The Owl House
