;id;watch_providers
0;1396;['Netflix', 'Netflix Standard with Ads']
1;219246;['Netflix', 'Netflix Standard with Ads']
2;209867;['Netflix', 'Amazon Prime Video', 'Netflix Standard with Ads', 'Crunchyroll', 'Crunchyroll Amazon Channel']
3;94605;['Netflix', 'Netflix Standard with Ads']
4;131378;['Max', 'Max  Originals Amazon Channel']
5;246;['Netflix', 'Amazon Prime Video', 'Movistar Plus+ Ficción Total ', 'SkyShowtime', 'Netflix Standard with Ads']
6;94954;['Amazon Prime Video']
7;37854;['Crunchyroll', 'Crunchyroll Amazon Channel']
8;31911;['Netflix', 'Amazon Prime Video', 'Netflix Standard with Ads']
9;60059;['Netflix', 'Netflix Standard with Ads']
10;60625;['Movistar Plus+ Ficción Total ', 'Max', 'Max  Originals Amazon Channel']
11;240411;['Netflix', 'Netflix Standard with Ads', 'Crunchyroll', 'Crunchyroll Amazon Channel']
12;87108;['Movistar Plus+ Ficción Total ', 'Max', 'Max  Originals Amazon Channel']
13;220542;['Crunchyroll', 'Crunchyroll Amazon Channel']
14;1429;['Netflix', 'Amazon Prime Video', 'Netflix Standard with Ads', 'Crunchyroll', 'Crunchyroll Amazon Channel']
15;92685;['Disney Plus']
16;70785;['Netflix', 'Netflix Standard with Ads']
17;42705;['Netflix', 'Netflix Standard with Ads']
18;46298;['Netflix', 'Netflix Standard with Ads', 'Crunchyroll', 'Crunchyroll Amazon Channel']
19;62741;[]
20;1398;['Max', 'Max  Originals Amazon Channel']
21;85937;['Netflix', 'Amazon Prime Video', 'Netflix Standard with Ads', 'Crunchyroll Amazon Channel']
22;85077;['Amazon Prime Video', 'Movistar Plus+', 'Movistar Plus+ Ficción Total ', 'Acontra Plus', 'Acontra Plus Amazon Channel']
23;42573;[]
24;95269;['Crunchyroll', 'Crunchyroll Amazon Channel']
25;95557;['Amazon Prime Video']
26;65930;['Amazon Prime Video', 'Crunchyroll', 'Crunchyroll Amazon Channel']
27;13916;['Netflix', 'Netflix Standard with Ads', 'Crunchyroll']
28;259666;['Amazon Prime Video']
29;72637;[]
30;31132;['Netflix', 'Movistar Plus+ Ficción Total ', 'Max', 'Netflix Standard with Ads', 'Max  Originals Amazon Channel']
31;127532;['Crunchyroll', 'Crunchyroll Amazon Channel']
32;89456;['Movistar Plus+ Ficción Total ', 'Max', 'Max  Originals Amazon Channel']
33;60863;['Netflix', 'Amazon Prime Video', 'Netflix Standard with Ads']
34;37419;[]
35;80040;[]
36;100;[]
37;62914;['Amazon Prime Video', 'Filmin']
38;57706;[]
39;77696;[]
40;3854;[]
41;82728;['Disney Plus']
42;97186;['Disney Plus']
43;66732;['Netflix', 'Netflix Standard with Ads']
44;46896;['Movistar Plus+ Ficción Total ', 'Max', 'Max  Originals Amazon Channel']
45;1438;['Movistar Plus+ Ficción Total ', 'Max', 'Max  Originals Amazon Channel']
46;40075;['Disney Plus']
47;1408;['Netflix', 'Amazon Prime Video', 'Movistar Plus+ Ficción Total ', 'SkyShowtime', 'Netflix Standard with Ads']
48;79141;['Netflix', 'Netflix Standard with Ads']
49;68595;[]
50;124834;['Netflix', 'Netflix Standard with Ads']
51;35610;[]
52;67915;[]
53;890;['Netflix', 'Netflix Standard with Ads']
54;80564;['Amazon Prime Video']
55;31356;['Movistar Plus+ Ficción Total ', 'SkyShowtime']
56;36189;['Disney Plus']
57;95479;['Netflix', 'Netflix Standard with Ads', 'Crunchyroll', 'Crunchyroll Amazon Channel']
58;35790;[]
59;2316;['Netflix', 'Amazon Prime Video', 'Movistar Plus+ Ficción Total ', 'SkyShowtime', 'Netflix Standard with Ads']
60;1430;[]
61;61663;[]
62;45790;['Netflix', 'Netflix Standard with Ads', 'Crunchyroll', 'Crunchyroll Amazon Channel']
63;98214;[]
64;65844;['Netflix', 'Netflix Standard with Ads', 'Crunchyroll Amazon Channel']
65;1044;[]
66;207468;['Crunchyroll', 'Crunchyroll Amazon Channel']
67;100088;['Movistar Plus+ Ficción Total ', 'Max', 'Max  Originals Amazon Channel']
68;61617;['Movistar Plus+ Ficción Total ', 'Max', 'Max  Originals Amazon Channel']
69;204154;[]
70;4613;['Netflix', 'Movistar Plus+ Ficción Total ', 'Max', 'Netflix Standard with Ads', 'Max  Originals Amazon Channel']
71;43;[]
72;83121;['Crunchyroll', 'Crunchyroll Amazon Channel']
73;88040;['Crunchyroll', 'Crunchyroll Amazon Channel']
74;68129;['Crunchyroll', 'Crunchyroll Amazon Channel']
75;93019;[]
76;85349;['Disney Plus']
77;82739;[]
78;120089;['Netflix', 'Amazon Prime Video', 'Netflix Standard with Ads', 'Crunchyroll', 'Crunchyroll Amazon Channel']
79;86031;['Netflix', 'Amazon Prime Video', 'Netflix Standard with Ads', 'Crunchyroll', 'Crunchyroll Amazon Channel']
80;45950;[]
81;74313;[]
82;89901;['Apple TV+', 'Apple TV Plus Amazon Channel']
83;114410;['Crunchyroll', 'Crunchyroll Amazon Channel']
84;21650;[]
85;9302;['Crunchyroll', 'Crunchyroll Amazon Channel']
86;94664;['Crunchyroll', 'Crunchyroll Amazon Channel']
87;138502;['Disney Plus']
88;12313;[]
89;77721;[]
90;61222;['Netflix', 'Netflix Standard with Ads']
91;76121;['Crunchyroll', 'Crunchyroll Amazon Channel']
92;2098;['Netflix', 'Amazon Prime Video', 'Netflix Standard with Ads']
93;108261;[]
94;67389;[]
95;40143;[]
96;110070;['Crunchyroll', 'Crunchyroll Amazon Channel']
97;83100;['Amazon Prime Video']
98;31910;['Netflix', 'Amazon Prime Video', 'Netflix Standard with Ads', 'Crunchyroll', 'Crunchyroll Amazon Channel']
99;207784;['Netflix', 'Netflix Standard with Ads']
100;125910;['Netflix', 'Netflix Standard with Ads']
101;90447;[]
102;60574;['Netflix', 'Amazon Prime Video', 'Netflix Standard with Ads']
103;135157;['Netflix', 'Netflix Standard with Ads']
104;75006;['Netflix', 'Netflix Standard with Ads']
