type;id;title;overview;release_date;genre;tmdb_rating;tmdb_count;imdb_rating;imdb_count;is_popular;watch_providers
movie;278;Cadena perpetua;Acusado del asesinato de su mujer, Andrew Dufresne, tras ser condenado a cadena perpetua, es enviado a la prisión de Shawshank. Con el paso de los años conseguirá ganarse la confianza del director del centro y el respeto de sus compañeros presidiarios, especialmente de Red, el jefe de la mafia de los sobornos.;23/09/1994;Crimen, Drama;8.71;28274;9.3;3042120;True;Netflix, Movistar Plus+, Movistar Plus+ Ficción Total , Filmin, Netflix Standard with Ads
movie;238;El padrino;"Don Vito Corleone, conocido dentro de los círculos del hampa como 'El Padrino', es el patriarca de una de las cinco familias que ejercen el mando de la Cosa Nostra en Nueva York en los años cuarenta. Don Corleone tiene cuatro hijos: una chica, Connie, y tres varones; Sonny, Michael y Fredo. Cuando el Padrino reclina intervenir en el negocio de estupefacientes, empieza una cruenta lucha de violentos episodios entre las distintas familias del crimen organizado.";14/03/1972;Crimen, Drama;8.686;21434;9.2;2121667;True;Movistar Plus+ Ficción Total , SkyShowtime, Max, Tivify, Max  Originals Amazon Channel
movie;240;El Padrino Parte II;Continuación de la saga de los Corleone con dos historias paralelas: la elección de Michael Corleone como jefe de los negocios familiares y los orígenes del patriarca, el ya fallecido Don Vito, primero en Sicilia y luego en Estados Unidos, donde, empezando desde abajo, llegó a ser un poderosísimo jefe de la mafia de Nueva York.;20/12/1974;Crimen, Drama;8.57;12950;9.0;1424468;True;Movistar Plus+ Ficción Total , SkyShowtime, Max, Max  Originals Amazon Channel
movie;424;La lista de Schindler;Oskar Schindler, un hombre de enorme astucia y talento para las relaciones públicas, organiza un ambicioso plan para ganarse la simpatía de los nazis. Después de la invasión de Polonia por los alemanes, consigue, gracias a sus relaciones con los nazis, la propiedad de una fábrica de Cracovia. Allí emplea a cientos de operarios judíos, cuya explotación le hace prosperar rápidamente. Su gerente, también judío, es el verdadero director en la sombra, pues Schindler no tiene el menor conocimiento industrial.;15/12/1993;Drama, Historia, Bélica;8.565;16420;9.0;1517035;True;Movistar Plus+, Movistar Plus+ Ficción Total , Filmin
movie;155;El caballero oscuro;Batman/Bruce Wayne regresa para continuar su guerra contra el crimen. Con la ayuda del teniente Jim Gordon y del Fiscal del Distrito Harvey Dent, Batman se propone destruir el crimen organizado en la ciudad de Gotham. El triunvirato demuestra su eficacia, pero, de repente, aparece Joker, un nuevo criminal que desencadena el caos y tiene aterrados a los ciudadanos.;16/07/2008;Acción, Crimen, Drama, Suspense;8.519;33828;9.0;3015692;True;Netflix, Amazon Prime Video, Max, Netflix Standard with Ads, Max  Originals Amazon Channel
movie;497;La milla verde;En el sur de los Estados Unidos, en plena Depresión, Paul Edgecomb es un vigilante penitenciario a cargo de la Milla Verde, un pasillo que separa las celdas de los reclusos condenados a la silla eléctrica. Esperando su ejecución está John Coffey, un gigantesco negro acusado de asesinar brutalmente a dos hermanas de nueve años. Tras una personalidad ingenua, Coffey esconde un don sobrenatural prodigioso. A medida que transcurre la historia, Paul Edgecomb aprende que los milagros ocurren... incluso en los lugares más insospechados.;10/12/1999;Crimen, Drama, Fantasía;8.505;18079;8.6;1479139;True;Movistar Plus+ Ficción Total , Filmin, SkyShowtime
movie;496243;Parásitos;Tanto Gi Taek (Song Kang-ho) como su familia están sin trabajo. Cuando su hijo mayor, Gi Woo (Choi Woo-sik), empieza a dar clases particulares en casa de Park (Lee Seon-gyun), las dos familias, que tienen mucho en común pese a pertenecer a dos mundos totalmente distintos, comienzan una interrelación de resultados imprevisibles.;30/05/2019;Comedia, Drama, Suspense;8.5;19027;8.5;1058893;True;Amazon Prime Video, Movistar Plus+, Movistar Plus+ Ficción Total , Filmin, Max, Max  Originals Amazon Channel
movie;129;El viaje de Chihiro;Durante el traslado de su familia a los suburbios, una niña de 10 años de edad deambula por un mundo gobernado por dioses, brujas y espíritus, y donde los humanos se convierten en bestias.;20/07/2001;Animación, Familia, Fantasía;8.5;17131;8.6;905425;True;Netflix, Netflix Standard with Ads
movie;389;12 hombres sin piedad;Tras escuchar todos los testimonios y valorar las pruebas presentadas, un jurado popular compuesto por doce hombres tiene que decidir, por unanimidad, si absuelve o condena a muerte a un joven acusado de haber matado a su padre. Al principio, once están completamente convencidos de su culpabilidad y se inclinan por la condena, pero el que discrepa empieza a plantear dudas razonables que, poco a poco, van resquebrajando la inicial seguridad de los demás.;10/04/1957;Drama;8.5;9116;9.0;920922;True;MGM Plus Amazon Channel
movie;19404;Un amor contra viento y marea;Los Singh son una familia india con grandes convicciones culturales de su nación de origen, que emigraron a Reino Unido antes de nacer sus primeros hijos. Uno de ellos querrá casarse con una mujer ajena a su cultura y para ello deberá hacer todos los esfuerzos por convencer a su familia.;20/10/1995;Comedia, Drama, Romance;8.5;4485;8.0;79265;True;
